Terminal_ID,Terminal_Name,Vehicles_At_Terminal,Passengers_At_Terminal,Pax_Per_Vehicle_Ratio,Veh_Segments_Count,Pax_Segments_Count,Empty_Return_Index,Veh_log,Pax_log,Empty_Severity
42,Saqr Quraish,384.0,5732.0,14.927083333333334,14,24,0.0,5.953243334287785,8.653994232908383,0.0
44,Al Muluk,0.0,0.0,,0,0,,0.0,0.0,
45,Al Zawya Al Hamra,14.0,307.0,21.928571428571427,2,4,0.0,2.70805020110221,5.730099782973574,0.0
46,Rehab - Gate 6,18.0,50.0,2.7777777777777777,2,3,0.0,2.9444389791664403,3.9318256327243257,0.0
47,Ahmed Helmy,115.0,1326.5309166082914,11.535051448767751,4,10,0.0,4.7535901911063645,7.191076042192013,0.0
48,6th District - 6th of October (Al Souq Al Qadeem),0.0,0.0,,0,0,,0.0,0.0,
49,Helwan,161.0,2935.0,18.229813664596275,7,13,0.0,5.087596335232384,7.984803389734406,0.0
50,Zayed 2000,0.0,0.0,,0,0,,0.0,0.0,
51,Al Motamayez,0.0,0.0,,0,0,,0.0,0.0,
52,Horia Square,152.0,1330.0,8.75,5,4,0.0,5.030437921392435,7.193685818395112,0.0
53,Al Sa'a Square,99.0,3579.411827994847,36.15567503025098,4,11,0.0,4.605170185988092,8.183233108531391,0.0
54,7th District (Nasr City),160.0,1977.7017151527116,12.360635719704447,7,18,0.0,5.081404364984463,7.590196209205878,0.0
55,Haram & Marioteya,90.0,760.0,8.444444444444445,6,5,0.0,4.51085950651685,6.634633357861686,0.0
56,Sphinx Airport,0.0,0.0,,0,0,,0.0,0.0,
59,Abageyah,28.0,4636.954663237505,165.60552368705376,1,15,0.0,3.367295829986474,8.442028742700323,0.0
60,CIC,37.0,210.0,5.675675675675675,2,2,0.0,3.6375861597263857,5.351858133476067,0.0
61,Al Warraq,0.0,0.0,,0,0,,0.0,0.0,
62,Masaken Al Wehda,13.0,685.0,52.69230769230769,2,6,0.0,2.6390573296152584,6.530877627725885,0.0
63,Masaken Zeinhom,78.0,1702.0,21.82051282051282,5,8,0.0,4.3694478524670215,7.440146680662688,0.0
68,Imbaba Ferry,143.0,6057.130477886786,42.357555789418086,5,10,0.0,4.969813299576001,8.709156529467949,0.0
69,Obour,14.0,140.0,10.0,3,2,0.0,2.70805020110221,4.948759890378168,0.0
70,7th District (6th of October),0.0,0.0,,0,0,,0.0,0.0,
72,Hegaz Square,281.0,9583.0,34.10320284697509,2,10,0.0,5.641907070938114,9.16785032035523,0.0
73,1st Settlement (New Cairo),113.0,1837.2542236214354,16.258886934702968,4,25,0.0,4.736198448394496,7.516571608705372,0.0
74,Cairo University Ferry,3.0,72.0,24.0,2,1,0.0,1.3862943611198906,4.290459441148391,0.0
75,Masaken Sheraton,69.0,130.0,1.8840579710144927,2,7,0.0,4.248495242049359,4.875197323201151,0.0
76,Industrial Zone 3,10.0,0.0,0.0,1,0,1.0,2.3978952727983707,0.0,2.3978952727983707
77,Qalaa,124.0,608.9861697554194,4.911178788350156,1,10,0.0,4.8283137373023015,6.413436284378232,0.0
78,Al Mostaqbal Entrance,93.0,405.0,4.354838709677419,6,4,0.0,4.543294782270004,6.0063531596017325,0.0
79,Motseian,61.0,187.0,3.0655737704918034,4,2,0.0,4.127134385045092,5.236441962829949,0.0
80,Al Mostafa Mosque,4.0,210.0,52.5,2,2,0.0,1.6094379124341003,5.351858133476067,0.0
81,15th of May,13.0,0.0,0.0,2,0,1.0,2.6390573296152584,0.0,2.6390573296152584
82,Moneeb Konayyesa,170.0,954.0,5.6117647058823525,7,3,0.0,5.14166355650266,6.86171134048073,0.0
84,Hamada Emam,0.0,0.0,,0,0,,0.0,0.0,
85,New Marg,82.0,1627.7988801638694,19.851205855656943,7,7,0.0,4.418840607796598,7.395598138833785,0.0
87,Al Shorouq Water,23.0,234.0,10.173913043478262,5,2,0.0,3.1780538303479458,5.459585514144159,0.0
